manuscript_token,reported_value,manuscript_location,source_artifact,source_filter,estimator_or_metric,split_or_surface,uncertainty_method
tier2_ehr_calibrated_semisynthetic_coverage_gate_passed,0,OPE gate results,ope_gate_breakdown.csv,tier=tier2_ehr_calibrated_semisynthetic,exact contract tuples passing coverage_gate,known-value environment,frozen tuple-level pass/fail gate
tier2_ehr_calibrated_semisynthetic_rank_gate_passed,0,OPE gate results,ope_gate_breakdown.csv,tier=tier2_ehr_calibrated_semisynthetic,exact contract tuples passing rank_gate,known-value environment,frozen tuple-level pass/fail gate
tier2_ehr_calibrated_semisynthetic_pairwise_gate_passed,648,OPE gate results,ope_gate_breakdown.csv,tier=tier2_ehr_calibrated_semisynthetic,exact contract tuples passing pairwise_gate,known-value environment,frozen tuple-level pass/fail gate
tier2_ehr_calibrated_semisynthetic_sign_gate_passed,0,OPE gate results,ope_gate_breakdown.csv,tier=tier2_ehr_calibrated_semisynthetic,exact contract tuples passing sign_gate,known-value environment,frozen tuple-level pass/fail gate
tier2_ehr_calibrated_semisynthetic_false_improvement_gate_passed,215,OPE gate results,ope_gate_breakdown.csv,tier=tier2_ehr_calibrated_semisynthetic,exact contract tuples passing false_improvement_gate,known-value environment,frozen tuple-level pass/fail gate
tier2_ehr_calibrated_semisynthetic_ess_gate_passed,270,OPE gate results,ope_gate_breakdown.csv,tier=tier2_ehr_calibrated_semisynthetic,exact contract tuples passing ess_gate,known-value environment,frozen tuple-level pass/fail gate
tier2_ehr_calibrated_semisynthetic_support_gate_passed,1728,OPE gate results,ope_gate_breakdown.csv,tier=tier2_ehr_calibrated_semisynthetic,exact contract tuples passing support_gate,known-value environment,frozen tuple-level pass/fail gate
tier2_ehr_calibrated_semisynthetic_precision_gate_passed,1728,OPE gate results,ope_gate_breakdown.csv,tier=tier2_ehr_calibrated_semisynthetic,exact contract tuples passing precision_gate,known-value environment,frozen tuple-level pass/fail gate
tier2_ehr_calibrated_semisynthetic_finite_gate_passed,3264,OPE gate results,ope_gate_breakdown.csv,tier=tier2_ehr_calibrated_semisynthetic,exact contract tuples passing finite_gate,known-value environment,frozen tuple-level pass/fail gate
tier2_ehr_calibrated_semisynthetic_approved_exact_contract_passed,0,OPE gate results,ope_gate_breakdown.csv,tier=tier2_ehr_calibrated_semisynthetic,exact contract tuples passing approved_exact_contract,known-value environment,frozen tuple-level pass/fail gate
