ehr_task,known_value_task,property,value,provenance_class,interpretation,contract_alignment,primary_bridge_eligible,source_artifact,claim_boundary
heart_failure,heart_failure,state_transition_kernel,known finite transition mechanism,synthetic_known_mechanism,Known-value construction detail; not estimated as an EHR action response,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,state_correlation_structure,finite severity/subtype/momentum layout,synthetic_finite_design,Known-value construction detail; not estimated as an EHR action response,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,latent_response_subtype,two synthetic subtypes with partial observation,synthetic_known_mechanism,Known-value construction detail; not estimated as an EHR action response,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,missingness_process,Bernoulli process calibrated to EHR aggregate rate,hybrid_ehr_rate_synthetic_process,Known-value construction detail; not estimated as an EHR action response,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,termination_process,constant synthetic hazard calibrated to EHR aggregate prevalence,hybrid_ehr_rate_synthetic_process,Known-value construction detail; not estimated as an EHR action response,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,behavior_state_dependence,synthetic severity tilt over EHR aggregate action counts,hybrid_ehr_counts_synthetic_process,Known-value construction detail; not estimated as an EHR action response,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,support_mask_state_dependence,EHR-supported actions broadcast over synthetic states,hybrid_ehr_support_synthetic_process,Known-value construction detail; not estimated as an EHR action response,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,initial_state_distribution,synthetic severity/subtype/missingness distribution,synthetic_finite_design,Known-value construction detail; not estimated as an EHR action response,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,world_model_weights,retrained separately per environment and seed,independent_synthetic_retraining,Known-value construction detail; not estimated as an EHR action response,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,exact_policy_truth,backward induction in known finite mechanism,synthetic_exact_truth,Known-value construction detail; not estimated as an EHR action response,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
